id,date,value
1,16/01/2015,45
2,18/01/2015,1
3,22/01/2015,21
4,30/01/2015,10
5,07/02/2015,9
6,08/02/2015,29
7,09/02/2015,317
8,03/03/2015,10
9,08/03/2015,4
10,17/03/2015,6
11,19/03/2015,1
12,06/04/2015,11
13,10/04/2015,2
14,13/04/2015,400
15,16/04/2015,53
16,17/04/2015,1
17,19/04/2015,794
18,20/04/2015,3
19,02/05/2015,3
20,21/05/2015,1
21,23/05/2015,5
22,25/05/2015,5
23,30/05/2015,25
24,17/06/2015,3
25,23/06/2015,7
26,06/07/2015,8
27,07/07/2015,18
28,09/07/2015,12
29,10/07/2015,30
30,15/07/2015,1
31,16/07/2015,6
32,27/07/2015,13
33,02/08/2015,4
34,03/08/2015,6
35,06/08/2015,225
36,11/08/2015,60
37,15/08/2015,49
38,16/08/2015,1
39,17/08/2015,9
40,18/08/2015,6
41,21/08/2015,1
42,23/08/2015,1
43,24/08/2015,6
44,25/08/2015,1
45,26/08/2015,50
46,27/08/2015,9
47,28/08/2015,204
48,30/08/2015,37
49,31/08/2015,8
50,01/09/2015,4
51,02/09/2015,2
52,04/09/2015,70
